index,text_vector
33,"[0.7857697094881809, 0.6236587554186922, 0.4333493774084973, 0.43044231020413576, 0.3645756835060391, 0.41400503020941515, 0.233992188224323, 0.16206946488774202, 0.16271814604332202, 0.13303845110499582, 0.18041487961289093, 0.22048833725038863, 0.16467871394118266, 0.10888531233198094, 0.13017288055469756, 0.09586617818076126, 0.13679671283059672, 0.09704957266638436, 0.09266371218041457, 0.08924201861433309]"
34,"[0.8885966873353712, 0.3940636170865156, 0.38561226565723783, 0.417007070958345, 0.22612663744393485, 0.23109213679433932, 0.09967993631874078, 0.10734178602704683, 0.13670313153321062, 0, 0, 0, 0, 0, 0, 0]"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"[0.6900665216507937, 0.5013133338084735, 0.24553844111310646, 0.3248288422476575, 0.37169845348940056, 0.21792894843001653, 0.230931977470072, 0.230569438845716, 0.2303770494621365, 0.17215039799056842, 0.22457194908302147, 0.22803046161450735, 0.194251647596533, 0.21699639366246581, 0.18704650349817284, 0.22063884196463412, 0.14976800637600274, 0.1655443037681347, 0.15903384889544772, 0.16506017578694163]"
37,"[0.9507964700961873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,"[0.5854293277110885, 0.7186082830273071, 0.4356293410150355, 0.3055875983492328, 0.33876836093275486, 0.33073240880393473, 0.22074041864935412, 0.36334045592064035, 0.1882622901237622, 0.1694235301884189, 0.18567765676369655, 0.22459745972701106, 0.24497515529722788, 0.18397400452900342, 0.16763852719461605, 0.11956223097242179, 0.15193858226432616, 0.13917892086759825, 0.1413266883583122, 0.12793047862664175]"
39,"[0.6386750109008752, 0.5849571395950284, 0.5108007430927173, 0.45340053319937773, 0.426398874776811, 0.44250370144301887, 0.462648105524889, 0.35532954924705873, 0.30008676830219927, 0.31097862950277205, 0.2798886580748365, 0.2824450556439064, 0.2553956860301494, 0.27854624172782033, 0.2531697171022359, 0.2662094884419046, 0.2533346573413552, 0.26160926692349207, 0.2872141396905965, 0.27556487830386184]"
40,"[0.7591350799439246, 0.5237233883937966, 0.5889401628114906, 0.45540965070312434, 0.29731303375724294, 0.28288644232138305, 0.2057487300046879, 0.2267515498543496, 0.17330908505114254, 0.172114666563085, 0.11345482121009207, 0.12756826855188297, 0.12004627368621337, 0.12751475091857228, 0.08173008389235592, 0.10567445066374734, 0.08851832125997394, 0.09984633936086293, 0.09549623387464573, 0.06415799895501095]"
41,"[0.6791259913802199, 0.5944737957336409, 0.3180014336315611, 0.25010220217631296, 0.28693720406543777, 0.23282243975399927, 0.22066070932507045, 0.18971712545232372, 0.19053101290429872, 0.1712503954572701, 0.14100778993480823, 0.19624969376664142, 0.16856844953657268, 0.1089303228448529, 0.14294117197685852, 0.1171511505359435, 0.11444204522221971, 0.11205845241737517, 0.11172326124764612, 0.07911544175799873]"
42,"[0.5713542978534261, 0.5966199648825876, 0.5883546925273622, 0.487837503459645, 0.4168592391825422, 0.47766655303273214, 0.472892406027564, 0.4538371537153525, 0.4406159182553753, 0.3932751953972733, 0.32737065425888423, 0.35285846370630225, 0.34171566189962227, 0.24632104515492068, 0.29738893575328634, 0.2937676166820123, 0.28319455376958436, 0.1999402830005194, 0.282868737930428, 0.21443947342492758]"
