index,text_vector
77,"[0.6753177657103037, 0.6668440337709582, 0.33826815341440236, 0.3542877447096555, 0.3285737431225824, 0.21879032633879944, 0.19245960491550168, 0.27335369646975705, 0.2126858840916212, 0.1899101445912197, 0.16955317555373745, 0.16348109581178744, 0.23480435501365077, 0.14976787622502766, 0.18440764407576055, 0.16986406098570045]"
78,"[0.7347106634405328, 0.5673129510396064, 0.40790942792595025, 0.3180039547914934, 0.310773583047645, 0.2854128825451656, 0.2898151699459697, 0.2916165318728968, 0.2477064442256999, 0.2396583188337122, 0.2188864161419038, 0.1727071426776945, 0.23157641321782216, 0.17203304703603275, 0.19264412526441071, 0.2087894771831516, 0.2194095991594993, 0.18487252211208569, 0.17809975242261963, 0.17676960045346796]"
79,"[0.809218749559925, 0.6138965044669189, 0.3639136344076453, 0.31261412663636773, 0.22507480215120082, 0.3032547011697021, 0.2137011274972087, 0.14651316157871078, 0.1922321611948777, 0.15569914182275355, 0.23226120497496205, 0.1602293558606701, 0.12583015792067945, 0.14171255237224137, 0.09955551725000433, 0.11134855401740462, 0.09244385884618138, 0.08954651915522471, 0.08904199810349263, 0.08409349325889372]"
80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,"[0.7466781851785212, 0.35792293279980986, 0.39536625307753515, 0.35103464166023934, 0.2848191794294803, 0.31025458405801254, 0.22173631564723795, 0.20304460066880625, 0.17792109616980484, 0.1227379268245489, 0.1369613858649687, 0.12298439255857255, 0.12250590495020623, 0.11075294578144258, 0.13611012174630605, 0.136182714299973, 0.11283967622215728, 0.10245274609179811, 0.16583726642281493, 0.08447287067419192]"
82,"[0.7762952035382552, 0.37677026642915235, 0.3187169742349694, 0.38230968529496356, 0.28752848653050334, 0.24169628785659827, 0.2159982533839267, 0.16355240423037617, 0.17463595017937739, 0.23157571880963224, 0.17757156783500003, 0.15678287426836743, 0.1410683792385179, 0.11828713655252156, 0.11141200421995519, 0.12552744481651784, 0.14728491416171458, 0.09396764306912674, 0.1108999881720116, 0.10355578184620629]"
83,"[0.8293549517757908, 0.5810405033748973, 0.5064275364668509, 0.3446976460711381, 0.30351497740345545, 0.31536400975865364, 0.27434544148447076, 0.2963422570911459, 0.2632073714087208, 0.33011613817195934, 0.3181135207440373, 0.20878730484394387, 0.2374261925456535, 0.18151246277342142, 0.20371695290313352, 0.16838958761126468, 0.22184511292008402, 0.2187649214111101, 0.1768314435558354]"
84,"[0.7475508696256563, 0.6594956649555761, 0.6128399043585181, 0.3578963881490098, 0.32172673670915114, 0.22153414857123185, 0.27033170784144406, 0.2235770247527484, 0.1583201199475363, 0.13855833212516636, 0.13201889588295138, 0.12570852668945906, 0.160390256086293, 0.12352393200887518, 0.1068566029854561, 0.10559058235798849, 0.09008511950658817, 0.09353979266301685, 0.08666054250279859, 0.08400469210367861]"
85,"[0.8302675075647001, 0.4627965578238801, 0.2872727034885775, 0.2266752350292017, 0.15826447375179803, 0.2294323352623709, 0.2437979815417256, 0.1843447197411782, 0.16057660584420572, 0.14889417147879777, 0.15602463635634492, 0.08945008960012799, 0.12012792158993019, 0.08272581941041864, 0.10325592955604551, 0.12874595276727402, 0.06880182518532954, 0.11778485442746878, 0.10325912818245256, 0.08239737311624312]"
86,"[0.9332784355053267, 0.47172121980019577, 0.2385434193651806, 0.1640152956617933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,"[0.7953918829681867, 0.43630256361530073, 0.5404012938012734, 0.3852309475347527, 0.2442734960278945, 0.1841342355511278, 0.18367549491721188, 0.14366412084816582, 0.17728461872708084, 0.12034250504312625, 0.15155907078410158, 0.11331983931987624, 0.11708539755836989, 0.0966917438297226, 0.09119360826181643, 0.09008814794013963, 0.0857856574491892, 0.11380063315440403, 0.1539823761164239, 0.07947484051641686]"
90,"[0.6545091364263308, 0.6207265656068608, 0.6130967210498858, 0.4293569089009633, 0.3884266939583275, 0.29680373844554453, 0.2645611532556504, 0.26516512750868626, 0.2651683673806146, 0.23438890476924296, 0.16655325531047013, 0.1585203284121269, 0.18841288371612586, 0.18135058653721056, 0.15663274692305706, 0.15751300717476888, 0.17932074045244945, 0.15695628894202485, 0.18769469818110418, 0.17962979128008355]"
91,"[0.8680117164863073, 0.23357053598885075, 0.24396778885866, 0.23493705014173283, 0.1575156018253579, 0.1590567718977834, 0.17419906642591199, 0.13938121509611984, 0.1604841837253138, 0.14860884251210627, 0.14636054527064485, 0.1115669676138987, 0.1305009331995381, 0.10829907624169297, 0.08901309615353117, 0.11299609250172574, 0.1220641585275164, 0.10141375997566598, 0.07284251860011362, 0.09843058997155407]"
92,"[0.7874301465016762, 0.3820873305643211, 0.34203421460307176, 0.3413612107850781, 0.385244727127386, 0.3381379028981102, 0.26457114146273647, 0.18709377583127848, 0, 0, 0, 0, 0, 0, 0, 0]"
93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,"[0.8696427402676672, 0.5437385319268853, 0.5379997016561018, 0.41097678283237926, 0.35760883371254215, 0.4568418729991496, 0.38811454308363835, 0.2588257276208405, 0.1817020741107412, 0.20179221124475044, 0.18119394434062538, 0.17218805462533365, 0.14885188964723642, 0.12049482217029923, 0.13508871325560795, 0.1370978146879855, 0.12792059813221895, 0.11837541058233407, 0.12678137698680886, 0.09251854119606957]"
95,"[0.8541899345429442, 0.2863108419856025, 0.24981255669393754, 0.19979777360176432, 0.17888130594214927, 0.12236314063705267, 0.11762567034025304, 0.17763111763847989, 0.10220577652470625, 0.07907810794124683, 0.14585185487458407, 0.12110471443688678, 0.09896249082290363, 0.07178885645546156, 0.12274767519755046, 0.07428321336811473, 0.09227172630149283, 0.0870180558029266, 0.0845986247612033, 0.10588348851120528]"
96,"[0.656142785499319, 0.5352830475860915, 0.36441197300206823, 0.22499920114304056, 0.22165621507524536, 0.1279337317495781, 0.13832683856371258, 0.15828868246359507, 0.1915656523821773, 0.188728904819633, 0.1930800483695401, 0.14784867283793762, 0.1446876419918407, 0.18189629910924743, 0.1501110603700477, 0.10329341323919317, 0.09283080228866425, 0.08024332461199118, 0.09975312766455897, 0.10823386926431082]"
97,"[0.7311382508247166, 0.44282139107003027, 0.5341993209343261, 0.4636894257261396, 0.4782479681168783, 0.35718845712407465, 0.28224601591582477, 0.27469693486453917, 0.2392628493437568, 0.28151286765813016, 0.2411334110345624, 0.25086150540226276, 0.288591933318733, 0.2549388061512632, 0.26758289798074986, 0.23282051654410535, 0.2696451428386635, 0.22301844976796126]"
98,"[0.6900665216507937, 0.5013133338084735, 0.24553844111310646, 0.3248288422476575, 0.37169845348940056, 0.21792894843001653, 0.230931977470072, 0.230569438845716, 0.2303770494621365, 0.17215039799056842, 0.22457194908302147, 0.22803046161450735, 0.194251647596533, 0.21699639366246581, 0.18704650349817284, 0.22063884196463412, 0.14976800637600274, 0.1655443037681347, 0.15903384889544772, 0.16506017578694163]"
99,"[0.9613836561928222, 0.17578399547783752, 0.12084962251107559, 0.20018020167909367, 0.11694439634432804, 0.10881292352243734, 0.12280622816401307, 0.08114102192904177, 0.07487954091676377, 0.08694053744789829, 0.094568295986287, 0.09440609268465802, 0.09073640888098235, 0.08632947797733326, 0.09403782660284174, 0.08407263842711321, 0.0994452515208942, 0.06889932846026348, 0.06870693631829422, 0.07062033527102377]"
100,"[0.8297173901496706, 0.4995214122000805, 0.21469730102038606, 0.1993509032835169, 0.23600219591606897, 0.17231893000500026, 0.17908804899215852, 0.16144933178047016, 0.19147884265511422, 0.1243712463697288, 0.14638880487132455, 0.19733943895708275, 0.1319335576544041, 0.1245513917291651, 0.15371515026102556, 0.1207183058236534, 0.16097176594531654, 0.09703411114337529, 0.13367516417070016, 0.10439873913850856]"
101,"[0.6931905736002197, 0.5775744112705022, 0.45517982390475226, 0.45072418907790335, 0.5450667604186777, 0.33598620938618606, 0.35049284035205674, 0.21790176033200917, 0.2103714820644029, 0.21042336319389, 0.23946264178742083, 0.18834023386390744, 0.25138778582638016, 0.2014554084463165, 0.2360143758199471, 0.21514414103430168, 0.19744571883406242, 0.22410838023035345, 0.21059186765230375, 0.2341604910887302]"
102,"[0.5628639297424969, 0.6241763971716104, 0.5017312739826298, 0.3332500064126381, 0.3911976947752011, 0.4072290062412852, 0.4545685557039043, 0.44033542016453286, 0.4114418697679686, 0.3838443178929841, 0.3338965833052734, 0.35135988673633006, 0.33923804761247495, 0.34407589463679805, 0.32727183154194944, 0.33999919981320237, 0.39299668682466216, 0.3596918024713276, 0.39371599929340473, 0.37303105181192564]"
103,"[0.8354922329250336, 0.2990169415036338, 0.2589338998479957, 0.26874528679937004, 0.3293436352274881, 0.291798435123761, 0.20417557939233208, 0.19606822387885803, 0.1621047661249799, 0.1972689011641141, 0.1796435935156097, 0.13686560153583735, 0.11295273781800062, 0.16101032967569368, 0.13612121741835725, 0.11712088781315082, 0.1152545014658061, 0.13139789324650192, 0.093686509998296, 0.08732225182862619]"
104,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105,"[0.7986338439477013, 0.5277480644763116, 0.3205974546188255, 0.24214119859514607, 0.1997690620765208, 0.05884613527102987, 0.11795828392758717, 0.14404855073588307, 0.16414889226172086, 0.05786342457342132, 0.10268186332015047, 0.10622793253319576, 0.061386408712303685, 0.0958143059493354, 0.09245229771211409, 0.06905898902521501, 0.07967450539301471, 0.054497778563106336, 0.06145032101235978, 0.06353410605220232]"
106,"[0.778073440946043, 0.6511670489774121, 0.56908661691544, 0.5154675476824027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,"[0.8953834647384704, 0.5871940743797849, 0.27675768382838867, 0.24259247396850597, 0.16675986357847639, 0.17917381455858675, 0.16710844826660104, 0.16253625442788094, 0.10912915539820135, 0.10561323327689132, 0.08270874404405942, 0.09332277876363013, 0.09166124591298576, 0.061328390706216984, 0.06298520997694806, 0.056771642018760254, 0.07093477805625714, 0.061127851861511616, 0.062474108312136845, 0.04573197161498761]"
109,"[0.8077602761969859, 0.5434681125525224, 0.2214218268777427, 0.3436661284927872, 0.2724852027281597, 0.24530301582377056, 0.2005956386789091, 0.23606927777410266, 0.19776984381884885, 0.1775250523816131, 0.15962993684668877, 0.19858007430015773, 0.1523018665884796, 0.18627665409487276, 0.15813395094044325, 0.13479000316577688, 0.1488966932974481, 0.11431954969938184, 0.11496099354924776, 0.09677490772415351]"
110,"[0.6787075085809922, 0.4975516606191575, 0.449653411831757, 0.5177161023722874, 0.38962367157499894, 0.40553401206261214, 0.33312958185670205, 0.3603199969095402, 0.3462090463901317, 0.3229723476017593, 0, 0, 0, 0, 0, 0]"
111,"[0.7368862461565708, 0.5909455537924624, 0.47594247984141635, 0.48505524264228805, 0.4436534740052802, 0.42729223443927306, 0.34187090544080545, 0.29339452786726, 0.3250866202059571, 0.2752401720061438, 0.33285010690824923, 0.2912003824280542, 0.2627638728074977, 0.19378444878628948, 0.21276311079307864, 0.21399971321065345, 0.15896791640273925, 0.1825280738042218, 0.19067111831165554, 0.15334640717982823]"
112,"[0.932164300055352, 0.27734372937852986, 0.27332861080423904, 0.23639722627059845, 0.2296836528711229, 0.1673547147589394, 0.1604625711540632, 0.17091893451716772, 0.17655014759415838, 0.18606570018816337, 0.13402341652514924, 0.17761326495974114, 0.11963421473021195, 0.1164801790092513, 0.10434162886313422, 0.10760539458997691, 0.09649758425120683, 0.10819645832105046, 0.07858133551035791, 0.09579860008105266]"
113,"[0.7305665143215576, 0.5658311237043198, 0.48607626434168477, 0.31052516260929897, 0.29214144360982375, 0.3217632039728493, 0.21932064330835946, 0.3177194805680381, 0.3535397256804387, 0.23213819097027752, 0.18079164479863663, 0.16643639960587456, 0.2028416351754687, 0.17662387272512345, 0.12813193236267773, 0.16393412139701463, 0.09161815654004658, 0.08918241985343277, 0.10669399828156373, 0.09210540927802949]"
114,"[0.7094154718719895, 0.4315827783461209, 0.3828297662043411, 0.3442510776198485, 0.30298822377450635, 0.33652502731245615, 0.2617524061307164, 0.2676902471081641, 0.22058805059277795, 0.3428718421046447, 0.17300922623058904, 0.18408864371343958, 0.2941788295799049, 0.20380519835846272, 0.17024366861013776, 0.15539692026003155, 0.1682484398788311, 0.1974830140083988, 0.13853025046890724, 0.14287432059532382]"
115,"[0.6444674823038091, 0.6077335543621171, 0.6563984607027422, 0.5546333448362111, 0.5765048878766629, 0.5859799500980926, 0.6400667064484524, 0.6402108236167883, 0.5480494194641155, 0.6095088676139648, 0.5301844688130325, 0, 0, 0, 0, 0]"
116,"[0.6770579663724817, 0.6145933558386474, 0.5176665956348795, 0.5040170013428272, 0.6222718889066935, 0.45598396024027527, 0.3678139002319731, 0.3005971872585227, 0.2980104185338103, 0.23524563195693138, 0.24054871540631273, 0.19820740388832414, 0.18939882966293917, 0.17124373006313512, 0.2561736268067946, 0.16995312864926693, 0.15383334072324553, 0.14030464986124244, 0.13946983193117882, 0.12944616615930982]"
117,"[0.710636693648758, 0.6368608963869755, 0.6243339161178927, 0.4118666433605147, 0.3671885487291136, 0.33293490251774416, 0.33703012028896945, 0.24626678243197933, 0.2454900005003105, 0.24251704674096963, 0.19943538904104194, 0.2940337423644098, 0.2032474048507351, 0.23117912168236115, 0.18050523563725673, 0.21735418526344008, 0.2510265636209454, 0.2292542455098172, 0.19074023142690863, 0.15242113570108093]"
118,"[0.7432049271040183, 0.7892103747096954, 0.47178523082186863, 0.45164731681797254, 0.19618909862944953, 0.21989640073160288, 0.16896581999475274, 0.17377736508062763, 0.19979191780078265, 0.16133096566326374, 0.1741204323939206, 0.21687044908996994, 0, 0, 0, 0]"
119,"[0.7824601526574275, 0.6931067036807592, 0.4106015982846821, 0.31347135582417324, 0.31225843229074374, 0.3067209504863928, 0.25133465065811567, 0.24758558772968622, 0.2720373967833466, 0.21399141671775818, 0.24903362083695607, 0.20802618977469567, 0.23880474276438998, 0.1720642229548542, 0.1850289771010855, 0.13505036488203934, 0.1487870673601283, 0.1814384231252184, 0.14113092076510653, 0.11310698044835892]"
120,"[0.6626485106461475, 0.6211200543050294, 0.3839245335205582, 0.32549971503200603, 0.41445472183372956, 0.19541686114799833, 0.15586011690460153, 0.1601486129143615, 0.15379542127618584, 0.13875755822728936, 0.1809900299888507, 0.14907365270278888, 0.13993608843607755, 0.1380838978432934, 0.13359723718019456, 0.11068961768079948, 0.12062858289109422, 0.10733833722984393, 0.13431225145559672, 0.09743286781499313]"
121,"[0.8354651324254768, 0.6060852925627978, 0.44298876868652215, 0.36143982551980314, 0.3041292731112428, 0.2839136488643753, 0.27458065168707557, 0.1502535807330519, 0.13749115458307928, 0.1562274597436063, 0.14316069012119897, 0.13368697601704657, 0.18045832260683625, 0.12484182331390535, 0.13547055687881496, 0]"
122,"[0.777891606349296, 0.4763701110154574, 0.33162472970506995, 0.37345519748930184, 0.3202412816143503, 0.1842362411230531, 0.22634798826819, 0.21345097554772796, 0.1628689265059325, 0.1952388658571552, 0.1322704852518671, 0.18964482909871272, 0.13522928350376995, 0.0987853568407713, 0.1979916729665665, 0.11495210284680932, 0.10510474310556754, 0.09806062753679495, 0.13239804136601743, 0.09655245995230152]"
123,"[0.7691274170904414, 0.5510845370222754, 0.42608017214449967, 0.2710050624549797, 0.2646942668681763, 0.20103248606364832, 0.1435266797309383, 0.168493069061554, 0.1887417262359264, 0.09752284964940505, 0.14006441561848693, 0.11263956173809817, 0.10842823114546588, 0.08943032221457417, 0.08173180468207493, 0.1023698335157534, 0.13763372817512032, 0.12968095983258465, 0.11668088386903541, 0.10088189590365437]"
124,"[0.6680420987309836, 0.40994366540293325, 0.31733552836636464, 0.3280743074270393, 0.3342559013228532, 0.3034868106713131, 0.2236874397993104, 0.19727736850788297, 0.29819431162177396, 0.2069909587681661, 0.18099658470672347, 0.19789680643560023, 0.1486243924899437, 0.1266615504759161, 0.10679201528322281, 0.17830447975579714, 0.12048439285633482, 0.09112821790257562, 0.13110925078316724, 0.0804160615737404]"
125,"[0.7986338439477013, 0.5277480644763116, 0.3205974546188255, 0.24214119859514607, 0.1997690620765208, 0.05884613527102987, 0.11795828392758717, 0.14404855073588307, 0.16414889226172086, 0.05786342457342132, 0.10268186332015047, 0.10622793253319576, 0.061386408712303685, 0.0958143059493354, 0.09245229771211409, 0.06905898902521501, 0.07967450539301471, 0.054497778563106336, 0.06145032101235978, 0.06353410605220232]"
126,"[0.5727027743410915, 0.5817941193175754, 0.6057146692326375, 0.6111145454224224, 0.5373191174185217, 0.5333171491722476, 0.3783444087179416, 0.2952607140378439, 0.3777534805673767, 0.2620682388979103, 0.3298079168526843, 0.15861641435251164, 0.14181419433000028, 0.1348989437907806, 0.1251528678994744, 0.10684790037685607, 0.10924635587671964, 0.11199746316259866, 0.10324493700298658, 0.09504540448339577]"
127,"[0.6118270446794605, 0.7867443084357097, 0.6651210310994228, 0.5606515473258445, 0.6678101032401726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
128,"[0.8135091700189361, 0.504674475925487, 0.48460010323295455, 0.4319752291201489, 0.4492264339972277, 0.43789316462879013, 0.41972788946292167, 0.42769151276216977, 0.37904534335001894, 0.36147874355375675, 0.2839439067560136, 0.2816089956392641, 0.288388284712513, 0.21646423167430862, 0.29849412577101825, 0.20082239061636345, 0.18819607774785785, 0.17034402999285825, 0.16512378601471767, 0.20939896080283582]"
129,"[0.9038921504800632, 0.23790047748276372, 0.14713849887675615, 0.16798675535143703, 0.16598802329406234, 0.10580418653351747, 0.09420523037259465, 0.10670254665396521, 0.11049837850483321, 0.08403415570786672, 0.08454675406440981, 0.08333910088591051, 0.09615584627723145, 0.10184650131939138, 0.11316080516778124, 0.053692815300639365, 0.046818299498869974, 0.05101396867553172, 0.054149959143973456, 0.054309027906335974]"
130,"[0.6644639905940162, 0.5348317880982446, 0.5290703099911127, 0.5463072514178164, 0.374439852920169, 0.3549298820630495, 0.36899871531461714, 0.3712450728998789, 0.34291419453007044, 0.3604213443608327, 0.37465263477401634, 0.306799044778715, 0.25553582217918985, 0.26852107701729416, 0.23620218930565795, 0.20001377164623374, 0.18227605017601423, 0.23302129357063772, 0.17612396944290779, 0.15697930591101222]"
131,"[0.6518439027097075, 0.5061998914742103, 0.39913026757813236, 0.39561215397289257, 0.389028491177971, 0.3437508030196256, 0.3692746032889204, 0.3750324543156701, 0.31837948935627713, 0.28889583388730145, 0.3735207063904476, 0.27278790372944584, 0.2876129638003993, 0.22859228680855603, 0.1983243610228827, 0.2285477649817742, 0.21795737508748547, 0.22122470248623266, 0.21685706638233618, 0.1855416172341259]"
132,"[0.8581622059233799, 0.28487823084239217, 0.1951065267984853, 0.21320297775442465, 0.24706534001787078, 0.2690058287467999, 0.1644202304892464, 0.21001185365908637, 0.22260140900785413, 0.21047576153505726, 0.1435775217065399, 0.17299421701838175, 0.13260089967070232, 0.1745579244055707, 0.11722184255538765, 0.13066576305816002, 0.10855268089201058, 0.10150198149164599, 0.09182654049953379, 0.11071389414867705]"
133,"[0.863946811849754, 0.4026673856829338, 0.2945633663945304, 0.22917583462101726, 0.21265389568332896, 0.20360127689784885, 0.15080791626998383, 0.126687629166272, 0.12609416639012322, 0.13321673476598916, 0.12337984078337916, 0.11730165614880973, 0.08295426351109067, 0.13354613329244436, 0.08598625827001133, 0.08300908299605002, 0.08685741639053302, 0.1208673365152421, 0.0902275395055831, 0.06566546183760981]"
134,"[0.8132627057088397, 0.36751414330631293, 0.2549118353860671, 0.2997158080073704, 0.3268306235971028, 0.21675785739349585, 0.2566310108610002, 0.23235394825132888, 0.23376511979628312, 0.2643367462414718, 0.2511815450204922, 0.2272853223994197, 0.2077208438712353, 0.1788181626042464, 0.17500074639802543, 0.18834671811528295, 0.1770189311586574, 0.17981629326592138, 0.18888011641818547, 0.23929735493499177]"
135,"[0.8532155221804876, 0.35042953948867883, 0.3285370965298574, 0.3040812146612242, 0.25277108071106075, 0.2970794595137638, 0.2613291641883648, 0.2013087096207177, 0.1903118253326661, 0.18064568308081858, 0.15555496822103893, 0.1810457159261254, 0.16036098814758162, 0.12306359915180799, 0.13240672201077114, 0.16121885115040813, 0.14670922987345733, 0.10546671305005617, 0.09390274748185226, 0.12158674004312611]"
136,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
137,"[0.6969495280238579, 0.367839480340654, 0.2566843772922605, 0.3689813800016809, 0.341895145626789, 0.34247527467055794, 0.21849326659436663, 0.21559322045961443, 0.23330324223943444, 0.3236646504097833, 0.19693349644126756, 0.167797866068009, 0.22622016378154822, 0.16586562467942673, 0.15243352831760038, 0.1500865907235816, 0.13290820087870214, 0.14433148263476925, 0.10002081649460784, 0.10243009279520932]"
138,"[0.7993323922677958, 0.6398650794825934, 0.6579875896139253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
139,"[0.593589140471356, 0.5887500592316781, 0.7121736016693898, 0.3645591544267632, 0.4624783368897196, 0.3249229572069337, 0.4045428092578485, 0.37564623660469515, 0.366774159238728, 0.27761586536062105, 0.2814451444962951, 0.2502446409247838, 0.22479320703446617, 0.1779208370040779, 0.16396602560281454, 0.1502405697620722, 0.18092603805907592, 0.18359043960970967, 0.158181829208997, 0.17645997263470106]"
140,"[0.6839103780319946, 0.4088267517465073, 0.3770183328622286, 0.25352748541912623, 0.24384449810156283, 0.2647892558937899, 0.21617981387989582, 0.23440089125022526, 0.1829888826403997, 0.17228070058867265, 0.15691431925618546, 0.14303943915120731, 0.16392591564667988, 0.14783414093461772, 0.1672622725540484, 0.16456993469277612, 0.12787411992847986, 0.09349157240272646, 0.11722710220728201, 0.1112047987998234]"
141,"[0.7731638943155548, 0.5242036656462428, 0.3706087360759395, 0.33537551003947225, 0.30562276107135034, 0.27849524207942294, 0.21892298454382697, 0.20523560736635482, 0.1473149531875274, 0.09363755875270703, 0.10257617714230574, 0.10174713237762131, 0.085628477679925, 0.08762166429647333, 0.112631592923842, 0.08270896975317868, 0.08001612548262092, 0.07927733972083581, 0.07528615512433107, 0.09622854713002828]"
142,"[0.9021531903108253, 0.30473824256093546, 0.34121834134293816, 0.13569314606014354, 0.13338444812681244, 0.07245508716076306, 0.08181953478237206, 0.11202346898656299, 0.11013369776988267, 0.10731794601213607, 0.061823377067026855, 0.054996572206783056, 0.08046166079960443, 0.05167407221237651, 0.055876531168145324, 0.05497912135790482, 0.05184168886259745, 0.04137079112785603, 0.042758498304484444, 0.049488259749757714]"
143,"[0.664140432802026, 0.7719534263948977, 0.7126143009489891, 0.4637454710992964, 0.34808892886026976, 0.25850678157272844, 0.21313829399009782, 0.1873293699604847, 0.1808419782450806, 0.17254371573616006, 0.18183101593197662, 0.12886693085377887, 0.1354058224314071, 0.1452972564782613, 0.12889801978618326, 0.12845571789862173, 0.1189974365504729, 0.11402149442156519, 0.09973771519285465, 0.09822333342315853]"
144,"[0.7010388485465086, 0.7614679338128151, 0.3445027260283591, 0.4540521876508955, 0.5015917551084027, 0.2914302637477261, 0.228091778848791, 0.23820113633620155, 0.23080877729911625, 0.22018217737682308, 0.19755472735757085, 0.22240658614267705, 0.19365410321592452, 0.19207326156909454, 0.15168512655000352, 0.1358126880318632]"
145,"[0.6900665216507937, 0.5013133338084735, 0.24553844111310646, 0.3248288422476575, 0.37169845348940056, 0.21792894843001653, 0.230931977470072, 0.230569438845716, 0.2303770494621365, 0.17215039799056842, 0.22457194908302147, 0.22803046161450735, 0.194251647596533, 0.21699639366246581, 0.18704650349817284, 0.22063884196463412, 0.14976800637600274, 0.1655443037681347, 0.15903384889544772, 0.16506017578694163]"
146,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
147,"[0.6857907024676867, 0.6738973094839233, 0.5350994463148726, 0.385023068123597, 0.2526692390556719, 0.2545880034081008, 0.26275113179441834, 0.20763461889081564, 0.1766972562990351, 0.166015989208266, 0.2025059614361529, 0.1643024380385324, 0.15260396550197525, 0.22170154321349234, 0.21236445575547225, 0.20090508902053236, 0.13952236910986757, 0.13882267725973554, 0.12752042689993448, 0.11627713895204843]"
148,"[0.7330429094853399, 0.6156039010637526, 0.5269139372970992, 0.36939771312680036, 0.447098532503554, 0.45038159583535453, 0.3585808961814096, 0.33135348105248874, 0.34016570746558006, 0.333492737977289, 0.2424035059591563, 0.25478086323003934, 0.2002817362929008, 0.231980901811939, 0.19608430529798315, 0.20401862941300047, 0.18206737915222942, 0.20614266420536936, 0.2728130553832024, 0.16826136683881937]"
149,"[0.7255735282016493, 0.6804499447346573, 0.41762838505531835, 0.46058129694292327, 0.4197779945153356, 0.34986119121735815, 0.17474169420515157, 0.21997321237068607, 0.18935901826795642, 0.14241799813086822, 0.14992311848533657, 0.13278305467870363, 0.11761369758542715, 0.1371042643031316, 0.13237296578021793, 0.09549908644867677, 0.10070769017071791, 0.11143584717204275, 0.09366404518586996, 0.08011543641081144]"
150,"[0.8186744227602818, 0.483060559266127, 0.40106718497005, 0.3678180966127953, 0.2370156367109555, 0.251369970297525, 0.2526756088452775, 0.19494801532516512, 0.19487185795321527, 0.22659071315610363, 0.18291586086246409, 0.2424406735131842, 0.20350638667776086, 0.24841856024630257, 0.18201975701789763, 0.13908558763081424, 0.13302889102048862, 0.14321225909546123, 0.15443490945829805, 0.14777353936669096]"
151,"[0.6892574231002984, 0.5057439732091559, 0.3925153353633155, 0.38166629993779877, 0.3459545525958275, 0.3218953335643553, 0.3035047980633058, 0.2801713433868794, 0.278277956713453, 0.26862215249715027, 0.26840146246292385, 0.2545175402269199, 0.19589651010904396, 0.20177917230578304, 0.20085205170043116, 0.18080856615541244, 0.17492989418448476, 0.167501744632657, 0.18380317773228178, 0.17704106338276887]"
152,"[0.7843059677195082, 0.4565741355833942, 0.41639315062286764, 0.36398452852837515, 0.24476911122307, 0.2248830746264943, 0.16759759355243942, 0.2052085123520349, 0.19889383954070003, 0.18029355054485147, 0.16434313011271376, 0.10326222712643424, 0.0954137221569176, 0.1005712629316722, 0.07632864712596042, 0.07597818195030907, 0.08653202860463306, 0.06514434320008411, 0.09489128143852565, 0.09017574265804741]"
153,"[0.7153643705196824, 0.732014374886736, 0.5647283084377582, 0.3217935687529959, 0.4100462881033242, 0.22889717019211958, 0.18268371857216703, 0.17859511606810427, 0.1901187673526828, 0.23601964911329498, 0.16643636371825096, 0.17910491149832655, 0.19074071097685114, 0.1401559200620182, 0.14322029065063527, 0.16840041608712875, 0.1619869161080535, 0.1287749630327561, 0.15176589877124216, 0.13222177334175012]"
154,"[0.8802526660239858, 0.34435393787044694, 0.5426128824034371, 0.316244916376085, 0.2924945247267653, 0.1917447193622497, 0.17602987531432174, 0.15008123968834702, 0.17276752659634123, 0.09912877328887895, 0.11298050019916475, 0.0748457728126507, 0.0805984114486192, 0.06205154003160708, 0.05526606706649203, 0.048589081966800604, 0.039689239924192786]"
